Ô Õ º ½ Ä ¸ ³ Í ¼ Ô Ú ·

$D2 E1 T07 M0 G P8 *Helwig Wiking* lev1 "hel"
!wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
!wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
!wwwwwwwwwwwwwwwwwwwwwwwwwwBili   wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
!wwwwwwwwwwwwwwwww        CAb.mAB C     wwwwwwwwwwwwwwwwwwwwwwwwwww
!wwwwwwww                F   f   A           wwwwwwwwwwwwwwwwwwwwww
!a                   ttttt  C  F B C             wwwwwwwwwwwwwwwwww
!a                  tt    F  A                        wwwwwwwwwwwww
!a   ttttttt    ttttt                                    wwwwwwwwww
!a  tt     tttttt                  &            C A        wwwwwwww
!a tt      ti     A CB                         F BBA F CZZ   wwwwww
!ttt       tt   A CA  C                           C C B A     wwwww
!a          tt   BA B               www              AFC ACA B wwww
!a           t  B  FC A  E G       wwwwwww            A B A CAF www
!a           t   CA B CABCDAGC     wwwwwwwww         BXC AC B AC ww
!a           t    BCA  CADEEBABC    wwwwwwwwww         AC  B "   ww
!a          tt     A CBABAipiAABE    wwwwwwwwwww              "  ww
!a          t     AC B ACC /   EFG   wwwwwwwwwwwww           A ABww
!a          t      B CB ABC   ABC     wwwwwwwwwwwwww  G GBGCF BC ww
!a         tt      AC CACGADECDAA      wwwwwwwwwwwwwwGGGG  AGCGACww
!a        ttY    B  BCB AB A ABB       wwwwwwwwwwwwwww G    F B www
!a        t"   ACCABC AC AC CB A BBA    wwwwwwwwwwwwwww     CA Cwww
!a        t     BB CFA ABF AB FCBA CA AAwwwwwwwwwwwwwwwww      wwww
!a        t   F  AC A CB CAB AA C A BCB  wwwwwwwwwwwwwwwwwwm^mwwwww
!a        t    ACB BC  ACB  CC BtACB F A wwwwwwwwwwwwwwwwwww2wwwwww
!a        t  BC A C ttttttttttttt A B C A wwwwwwwwwwwwwwwwww7wwwwww
!a       tt   AC B  t   ZW      FC BCA B  wwwwwwwwwwwwwwwwwwwwwwwww
!a      tt  AC BA   t    ZW C BA AB B CC F wwwwwwwwwwwwwwwwwwwwwwww
!a      t  C BC C  tt    C ABA  CC F  ttAB wwwwwwwwwwwwwwwwwwwwwwww
!a      t BAC A   tt  CCBF j CA BBA   t  C Awwwwwwwwwwwwwwwwwwwwwww
!a     tt  C BC  tt  A BA jpj  B AB #tt#  A  wwwwwwwwwwwwwwwwwwwwww
!a    tt  AAB A tt   CB Cm...m  CC   tU  B FB wwwwwwwwwwwwwwwwwwwww
!a    t   B CF  t   B AA  tcb AB A   t   CB Cj  wwwwwwwwwwwwwwwwwww
!tttttt  C A  ttt  C AC  tt   F AC   t    AA u   wwwwwwwwwwwwwwwwww
!a   ett     tt     BF   t  AC BB C  t   B CA.    wwwwwwwwwwwwwwwww
!a A C ttttttte         tt   ABC F  tt  A C        wwwwwwwwwwwwwwww
!a  DB B     ttt      ttt  B CA A  tt                wwwww7wwwwwwww
!a C  AC C     tt    tt     A CB  tt                    ww2ww7wwwww
!a  BA  AB      tt   t           tt            ttttt     qqqw2ww2ww
!aA   CB  F      ttttti          t         ttttt   ttttttttqqqqq2ww
!a  CA   A G         ttttttt     t        tt                   qqqa
!a    B C            A  A  ttttttt       tt                       a
!a                    BA BB  F   ttttt   t                  N     a
!a                   CC A C A    t   ttttte                     O a
!a                  BA B A FB   tt B C   ttttttt                  a
!a                 C  CA  A    tt  CA AB CA    tttttt             a
!a                  A B CB CA  t  AB CC A B         tttt       -  a
!a                   C B  CB  cfc   A BA C BA          ttttttt    a
!a                           j.o.jCB B  A BA C  A     tte    tt   a
!a=            CB AB A        hmh  F  AB  C B BCttttttt  C A  tt  a
!a   B    tttt A ACC  AC C          C B CC A CAtt       B BC B tttt
!a C     tt  tt B B CAB B A      CB ACZB BBA Ftt       A CF A     a
!a  A  ttt C  tt AXA BA  CAB A CB AFC ttttttttt       CEB BC      a
!a ,  tt  A  A tttFWC BB A BC BA A #Btt     B  CAB    #F C        a
!azy;tt    BF    tt AC CA B AC ttttttt ZAB ACFC B ##  #           a
!a ztt        C   ttttB  ttttttt   CX#AC CAC BAFCC X##Y           a
!tttt:0;             ttttt  C BBA BA CB ABC BA AB A         rrrrrra
!a y:;z              et    A AC BCA FC AC AC ACB       rrrrrr    rr
!a  z y               t     C AB AFACCBB A        rrrrrr   #      a
!a;9 :               tt      A  CBC A          rrrrtttt         S a
!a                   t        CAC F        rrrrrtttt #tt  N  tttttt
!a  B                t     i   FABrr        ...rt      ttttttt    a
!aB  CC             tt         DCF*r         X.rt       t         a
!a AC BA F         tt       A  ABC AC C      tttt  R    t         a
!aB AB CC        ttt      BC  CB ACB A         Z       Pt  O   rrrr                        a
!a CB A A B      t          AC CA B AB CC      r        t      r  a      Uiat
!aaaaaaaaaaaaaaaataaaaaaaaaaaaaaaaaaaaaaaaaaaaaraaaaaaaataaaaaaraaa
Ô Õ º ½ Ä ¸ ³ Í ¼ Ô Ú ·

$D0 E0 T20 N01  M7  lev2   wiocha na wioche...."susza"
!=aaaaaaaaaaaaaaaaaaaaaaaaaqqqqqqqaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
!qqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq    qqq
!qqqqqqqqqqqqqqqoloqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq D  qqq
!qqqqqqqqqqqqqqq...qqqqqqqqqqqqqqqqqqqqqqqqqqq   qqqqqqqqqq   E qqq
!qqqqqG qqqqqqqqi iqqqqqqqqqqqqqqqqqqqqqqqqqq G               qqqqa
!acd q GG   qqqqqqqqqqqqqqq tttttttt qqqqqqqqqqqqq   qqq      qqqqq
!ttttcynd   qqqqqqqqqqqtttttt c dc tttttt qqqqqqqqqqqqqq     qqqqqq
